date,price,
05-01-2011,4539.25,
10-02-2011,4518.4,
13-02-2011,4463.25,
20-02-2011,4328.1,
27-02-2011,4446.75,
04-03-2011,4587.95,
07-03-2011,4850.3,
13-03-2011,4340,
20-03-2011,4480.4,
27-03-2011,4550.95,
09-04-2011,4551.25,
12-04-2011,4606.25,
17-04-2011,4610.3,
24-04-2011,4685.55,
06-05-2011,4772.65,
15-05-2011,4619.8,
22-05-2011,4632.1,
29-05-2011,4759.4,
02-06-2011,4428.7,
03-06-2011,4386.85,
11-06-2011,4661.2,
19-06-2011,4720.5,
26-06-2011,4796.25,
08-07-2011,4555.05,
17-07-2011,4850,
24-07-2011,4848.45,
31-07-2011,4710.75,
05-08-2011,4607.55,
14-08-2011,4418.95,
21-08-2011,4412.2,
28-08-2011,4587.95,
10-09-2011,4537.9,
18-09-2011,4487.4,
25-09-2011,4520.95,
04-10-2011,4593.8,
07-10-2011,4922.3,
16-10-2011,4568.1,
23-10-2011,4772.45,
30-10-2011,4748.95,
09-11-2011,4567.25,
12-11-2011,4588.55,
13-11-2011,4601.75,
20-11-2011,4594.75,
27-11-2011,4744.6,
06-12-2011,4754.5,
18-12-2011,4561.2,
25-12-2011,4576.25,
01-01-2012,4658.6,
04-01-2012,4991.85,
07-01-2012,5259.6,
15-01-2012,4790.95,
22-01-2012,4824.15,
29-01-2012,4906.35,
09-02-2012,5680.85,
12-02-2012,5887.15,
19-02-2012,4781.1,
26-02-2012,4873.45,
06-03-2012,5024.15,
18-03-2012,4878.7,
25-03-2012,5036.6,
03-04-2012,4889.35,
11-04-2012,5751.55,
15-04-2012,5195.3,
22-04-2012,5137.6,
29-04-2012,5184.5,
02-05-2012,4837.95,
08-05-2012,5502.85,
13-05-2012,5022.05,
20-05-2012,5041.2,
27-05-2012,4978.2,
05-06-2012,4970.65,
17-06-2012,5075.3,
24-06-2012,5216,
10-07-2012,5622.2,
15-07-2012,5264.6,
22-07-2012,5287,
29-07-2012,5506.15,
01-08-2012,4752.05,
04-08-2012,5116.85,
07-08-2012,5247.45,
19-08-2012,5601.3,
26-08-2012,5648.95,
09-09-2012,5632.55,
12-09-2012,5918.9,
16-09-2012,5506.15,
23-09-2012,5623,
30-09-2012,5532.1,
06-10-2012,4985.95,
14-10-2012,5590.05,
21-10-2012,5542.25,
28-10-2012,5736.8,
03-11-2012,4805.1,
11-11-2012,5658.85,
18-11-2012,5680.85,
25-11-2012,5869.75,
02-12-2012,4833.95,
08-12-2012,5524.95,
16-12-2012,5972.15,
23-12-2012,6035.5,
30-12-2012,6080.4,
09-01-2013,7103.8,
12-01-2013,7365.75,
13-01-2013,5960.75,
20-01-2013,5949.45,
27-01-2013,5989.65,
06-02-2013,6782.7,
17-02-2013,5944.15,
24-02-2013,5807,
02-03-2013,5837.35,
03-03-2013,5973.5,
11-03-2013,7491.55,
17-03-2013,5949.75,
24-03-2013,5953,
31-03-2013,6132,
08-04-2013,6856.1,
14-04-2013,6355.4,
21-04-2013,6505.6,
28-04-2013,6586.75,
05-05-2013,6596.45,
19-05-2013,6664.15,
26-05-2013,6729.25,
01-06-2013,6056.1,
10-06-2013,7642.05,
16-06-2013,6597.85,
23-06-2013,6756.3,
30-06-2013,6983.95,
04-07-2013,6242.1,
07-07-2013,7251.45,
14-07-2013,7241.3,
21-07-2013,7158.35,
28-07-2013,7036.1,
09-08-2013,7287.9,
12-08-2013,7276.9,
18-08-2013,6710.2,
25-08-2013,6980.55,
06-09-2013,6656.9,
15-09-2013,7260.7,
22-09-2013,7364.6,
29-09-2013,7472.45,
02-10-2013,5865.35,
03-10-2013,6003.85,
11-10-2013,7461.5,
13-10-2013,7632.2,
20-10-2013,7473.2,
27-10-2013,7502.8,
08-11-2013,6960.75,
17-11-2013,7293.2,
24-11-2013,7351.8,
05-12-2013,6885.15,
15-12-2013,7646.6,
22-12-2013,7661.2,
29-12-2013,7663.1,
06-01-2014,7672.7,
19-01-2014,7811.95,
26-01-2014,7701.2,
02-02-2014,7872,
03-02-2014,7897.85,
11-02-2014,11289.7,
16-02-2014,7903.3,
23-02-2014,8276.5,
08-03-2014,9130.6,
16-03-2014,7787.1,
23-03-2014,7632.3,
30-03-2014,7843.25,
05-04-2014,8009,
13-04-2014,7941.6,
20-04-2014,7989.3,
27-04-2014,8157.05,
01-05-2014,7880.35,
10-05-2014,10330.1,
18-05-2014,7489.3,
25-05-2014,7712.9,
04-06-2014,7964.8,
07-06-2014,8819.05,
15-06-2014,8043.7,
22-06-2014,8361,
29-06-2014,8796.45,
09-07-2014,10353.1,
12-07-2014,11155.95,
13-07-2014,8829.4,
20-07-2014,9168.15,
27-07-2014,9179.7,
06-08-2014,7986.35,
17-08-2014,9956.1,
24-08-2014,10082.3,
31-08-2014,10384.45,
02-09-2014,7725.7,
03-09-2014,7767.2,
11-09-2014,11195.3,
14-09-2014,10587.25,
21-09-2014,10501.65,
28-09-2014,10796.7,
08-10-2014,9433.6,
19-10-2014,10504.35,
26-10-2014,10874.75,
05-11-2014,7699.45,
16-11-2014,11189.55,
23-11-2014,11254.75,
30-11-2014,11146.2,
01-12-2014,7816.1,
10-12-2014,10178.4,
14-12-2014,10731.6,
21-12-2014,10738.05,
28-12-2014,10955.6,
02-01-2015,11322.95,
03-01-2015,12632.5,
11-01-2015,12226.65,
18-01-2015,11581.1,
25-01-2015,11693.55,
08-02-2015,12641.05,
15-02-2015,11746.5,
22-02-2015,11554.8,
05-03-2015,12104.7,
15-03-2015,12622.25,
22-03-2015,12588.55,
29-03-2015,13136.2,
01-04-2015,10934.55,
10-04-2015,13277.7,
19-04-2015,12210,
26-04-2015,12057.8,
04-05-2015,13505.9,
07-05-2015,12537.25,
17-05-2015,12690.1,
24-05-2015,12511.75,
31-05-2015,11715.85,
09-06-2015,12341.85,
12-06-2015,11383.5,
14-06-2015,11810,
21-06-2015,12066.85,
28-06-2015,12264.85,
06-07-2015,11328.45,
19-07-2015,12226.05,
26-07-2015,12353.25,
02-08-2015,11789.9,
03-08-2015,12487.05,
11-08-2015,11640.55,
16-08-2015,13470,
23-08-2015,12940.75,
30-08-2015,12521.55,
08-09-2015,13137.25,
13-09-2015,12751.2,
20-09-2015,12826.45,
27-09-2015,13140.85,
05-10-2015,12294.65,
18-10-2015,13258.5,
25-10-2015,13170.15,
01-11-2015,11101.15,
10-11-2015,13203.55,
15-11-2015,11685.35,
22-11-2015,11567.55,
29-11-2015,11645.05,
04-12-2015,12809.15,
07-12-2015,13139,
13-12-2015,11663.8,
20-12-2015,11795.75,
27-12-2015,11979.85,
05-01-2016,11121.4,
17-01-2016,11141.3,
24-01-2016,11755.85,
31-01-2016,11652.4,
10-02-2016,11480.1,
14-02-2016,11341.65,
21-02-2016,11164.25,
28-02-2016,11537.65,
01-03-2016,11486.6,
04-03-2016,11012.5,
07-03-2016,11569.7,
13-03-2016,11092.25,
20-03-2016,11198.3,
27-03-2016,10928.3,
09-04-2016,11818.8,
12-04-2016,10929.45,
17-04-2016,11286.75,
24-04-2016,11293.25,
06-05-2016,10657.6,
15-05-2016,11070.65,
22-05-2016,11206.8,
29-05-2016,10808.2,
03-06-2016,11695.6,
11-06-2016,10901.25,
19-06-2016,10747.8,
26-06-2016,11250.9,
02-07-2016,11081.05,
08-07-2016,11362.4,
17-07-2016,11815.75,
24-07-2016,11697.25,
31-07-2016,11678.9,
05-08-2016,11157.65,
14-08-2016,11587.4,
21-08-2016,11395.45,
28-08-2016,11555.15,
10-09-2016,11380.1,
18-09-2016,11798.65,
25-09-2016,11461,
01-10-2016,11259.75,
04-10-2016,11225.75,
07-10-2016,11607.7,
16-10-2016,11494.55,
23-10-2016,11571.85,
30-10-2016,10606,
09-11-2016,11725.5,
12-11-2016,10646.5,
13-11-2016,10751.45,
20-11-2016,11085,
27-11-2016,11038.05,
06-12-2016,10653.45,
18-12-2016,10156.65,
25-12-2016,10267,
01-01-2017,10472.7,
10-01-2017,9477.75,
15-01-2017,10307.85,
22-01-2017,10367.2,
29-01-2017,10555,
04-02-2017,10285.8,
07-02-2017,9723.85,
19-02-2017,10561.6,
26-02-2017,10614.05,
09-03-2017,8840.3,
12-03-2017,9098.45,
19-03-2017,10556.35,
26-03-2017,10411.15,
06-04-2017,9507.35,
16-04-2017,10208.5,
23-04-2017,10120.9,
30-04-2017,9935.15,
02-05-2017,10438.1,
03-05-2017,10468.35,
11-05-2017,9311.5,
14-05-2017,10156.1,
21-05-2017,9060.45,
28-05-2017,9254.7,
08-06-2017,8521.35,
18-06-2017,9478.15,
25-06-2017,9606.4,
05-07-2017,10121.4,
16-07-2017,10052.4,
23-07-2017,9672.6,
30-07-2017,9256.85,
01-08-2017,10445.1,
10-08-2017,9545.6,
13-08-2017,8639.4,
20-08-2017,8902.05,
27-08-2017,9071.7,
04-09-2017,10531.95,
07-09-2017,9958.25,
17-09-2017,9465.45,
24-09-2017,9172.6,
09-10-2017,9338,
12-10-2017,9100.3,
15-10-2017,9593.5,
22-10-2017,9650.1,
29-10-2017,9897.2,
06-11-2017,9525.5,
19-11-2017,9364.3,
26-11-2017,9083.85,
02-12-2017,10624.4,
03-12-2017,10674.95,
11-12-2017,9161.8,
17-12-2017,9326.6,
24-12-2017,9620.1,
31-12-2017,9701.05,
04-01-2018,8772.4,
07-01-2018,9189.9,
14-01-2018,9637.8,
21-01-2018,9729.15,
28-01-2018,9042.75,
09-02-2018,10661.25,
12-02-2018,8682.6,
18-02-2018,9095.4,
25-02-2018,8917.75,
06-03-2018,8603.95,
18-03-2018,8327.4,
25-03-2018,8358.05,
02-04-2018,9222.55,
03-04-2018,8515.7,
11-04-2018,9643.9,
15-04-2018,8819.8,
22-04-2018,8987.4,
29-04-2018,8817.45,
08-05-2018,9138.25,
13-05-2018,8211.85,
20-05-2018,8297.25,
27-05-2018,8213.2,
05-06-2018,8445.7,
17-06-2018,9360.9,
24-06-2018,9173.15,
01-07-2018,9741.85,
10-07-2018,9525.6,
15-07-2018,8895.25,
22-07-2018,9039,
29-07-2018,9500.75,
04-08-2018,8730.6,
07-08-2018,9164,
19-08-2018,10061.1,
26-08-2018,10390.95,
09-09-2018,10652.85,
12-09-2018,8726.4,
16-09-2018,10252.35,
23-09-2018,9972.45,
30-09-2018,9547.35,
06-10-2018,9316.25,
14-10-2018,9650.3,
21-10-2018,9115.1,
28-10-2018,9547.85,
02-11-2018,9180.9,
03-11-2018,8546.8,
11-11-2018,9301.35,
18-11-2018,9302.3,
25-11-2018,9275.7,
08-12-2018,9693.85,
16-12-2018,8774.05,
23-12-2018,8814.2,
30-12-2018,8788.05,
09-01-2019,8068.75,
12-01-2019,7957.55,
13-01-2019,8689.6,
20-01-2019,8891,
27-01-2019,8969.55,
06-02-2019,8179.6,
17-02-2019,8772.6,
24-02-2019,8972.65,
02-03-2019,8984.85,
03-03-2019,9021.85,
11-03-2019,7787.4,
17-03-2019,9199.35,
24-03-2019,9346.55,
31-03-2019,9271.55,
08-04-2019,7924.05,
14-04-2019,9409.9,
21-04-2019,9461.7,
28-04-2019,9220.45,
05-05-2019,8944.6,
19-05-2019,8608.45,
26-05-2019,8455.1,
01-06-2019,8902.45,
10-06-2019,7278.45,
16-06-2019,7911.55,
23-06-2019,8065.15,
30-06-2019,7926.5,
04-07-2019,9426.45,
07-07-2019,8144.3,
14-07-2019,8040.1,
21-07-2019,8178.9,
28-07-2019,7868.2,
09-08-2019,8033.05,
12-08-2019,8045.05,
18-08-2019,7780.55,
25-08-2019,8072.05,
06-09-2019,8083.55,
15-09-2019,7983.55,
22-09-2019,7695.3,
29-09-2019,7396.9,
02-10-2019,8643.3,
03-10-2019,9221.75,
11-10-2019,7720.6,
13-10-2019,7608.15,
20-10-2019,7736.55,
27-10-2019,7949.45,
08-11-2019,7684.3,
17-11-2019,8067.2,
24-11-2019,8189.95,
05-12-2019,8448.95,
15-12-2019,8049.45,
22-12-2019,8068.05,
29-12-2019,8111.95,
03-01-2020,8018.3,
11-01-2020,11623.35,
19-01-2020,8294.05,
26-01-2020,8138.6,
02-02-2020,8341.85,
08-02-2020,11333,
16-02-2020,8364.35,
23-02-2020,7576.75,
05-03-2020,9343.35,
15-03-2020,6951.9,
22-03-2020,6813.05,
29-03-2020,7361.6,
10-04-2020,12043.95,
19-04-2020,9518.45,
26-04-2020,9327.1,
01-05-2020,8058.5,
04-05-2020,8800.45,
07-05-2020,10072.25,
17-05-2020,9600.65,
24-05-2020,9768.6,
31-05-2020,10081.3,
09-06-2020,11313.3,
12-06-2020,12366,
14-06-2020,10002.15,
21-06-2020,10137.85,
28-06-2020,9963.4,
06-07-2020,9982.8,
19-07-2020,10237.95,
26-07-2020,11148.9,
03-08-2020,7268,
11-08-2020,11726.45,
16-08-2020,11614.9,
23-08-2020,11622.9,
30-08-2020,11281.45,
02-09-2020,8331.7,
08-09-2020,11640.4,
13-09-2020,12320.9,
20-09-2020,11595.9,
27-09-2020,11822.9,
05-10-2020,9093,
18-10-2020,11503.05,
25-10-2020,11243.75,
10-11-2020,11814.1,
15-11-2020,11526.75,
22-11-2020,11839.15,
29-11-2020,12353.6,
01-12-2020,8345.3,
04-12-2020,9157.75,
07-12-2020,10472.15,
13-12-2020,12762.35,
20-12-2020,12908.95,
27-12-2020,13001.95,
08-01-2021,14517.5,
17-01-2021,12542.1,
24-01-2021,12170.25,
31-01-2021,12950.65,
05-02-2021,13747.1,
14-02-2021,12347.4,
21-02-2021,11927.9,
28-02-2021,12192.75,
01-03-2021,13271.55,
10-03-2021,14514.8,
14-03-2021,11667.1,
21-03-2021,11883.2,
28-03-2021,12377.1,
04-04-2021,12995.35,
07-04-2021,14360.2,
18-04-2021,13319.75,
25-04-2021,13469.25,
09-05-2021,14329.85,
12-05-2021,13446.1,
16-05-2021,13993.7,
23-05-2021,13934.1,
30-05-2021,14101.55,
06-06-2021,14464.05,
13-06-2021,14030.6,
20-06-2021,14069.6,
27-06-2021,14529.65,
02-07-2021,12785.75,
03-07-2021,12184.25,
11-07-2021,13774.65,
18-07-2021,14597.85,
25-07-2021,14425.3,
08-08-2021,14049.05,
15-08-2021,13711.15,
22-08-2021,13948.7,
29-08-2021,14485.65,
05-09-2021,13885.5,
19-09-2021,14289.15,
26-09-2021,14587.65,
01-10-2021,13014.25,
10-10-2021,14728.65,
17-10-2021,13949.65,
24-10-2021,13879.35,
31-10-2021,13948.2,
04-11-2021,13234.25,
07-11-2021,14635.05,
14-11-2021,13481.4,
21-11-2021,13797.1,
28-11-2021,13443.85,
09-12-2021,14355.15,
12-12-2021,13230.7,
19-12-2021,13491.25,
26-12-2021,14223,
05-01-2022,12820.9,
16-01-2022,13243.05,
23-01-2022,12983.05,
30-01-2022,13580.3,
01-02-2022,13857.95,
10-02-2022,13134.7,
13-02-2022,13208.8,
20-02-2022,12899.85,
27-02-2022,12600.15,
04-03-2022,13838.6,
07-03-2022,12449.45,
13-03-2022,13546.05,
20-03-2022,13607.05,
27-03-2022,13579.9,
09-04-2022,12689.3,
17-04-2022,13569.85,
24-04-2022,13462.85,
06-05-2022,12419.2,
15-05-2022,13065.5,
22-05-2022,12669.95,
29-05-2022,12418.8,
02-06-2022,13510.3,
03-06-2022,13399,
19-06-2022,12178.4,
26-06-2022,12260.9,
08-07-2022,12864,
17-07-2022,12617.55,
24-07-2022,12776.55,
31-07-2022,12939.75,
05-08-2022,12629.5,
14-08-2022,12799.95,
21-08-2022,12580.45,
28-08-2022,12506.15,
01-09-2022,13964.15,
10-09-2022,12950.45,
18-09-2022,12610.65,
25-09-2022,12971.9,
04-10-2022,13772.75,
07-10-2022,12732,
16-10-2022,12979.4,
23-10-2022,13228.05,
09-11-2022,12346.85,
06-12-2022,11803.95,
